Name,OVR,Stat1_PAC_GK-DIV,Stat2_SHO_GK-HAN,Stat3_PAS_GK-KIC,Stat4_DRI_GK-REF,Stat5_DEF_GK-SPD,Stat6_PHY_GK-POS,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Alternative positions,Age,Nation,League,Team,play style,Height_cm,Weight_kg
Alexis Maldonado,68,50,32,42,46,69,77,49,50,34,27,44,28,29,40,36,27,33,54,49,29,40,45,44,66,51,63,68,62,70,73,66,72,71,84,69,CB,3,2,Right,None,27,Argentina,Primera División,Banfield,None,187.0,85.0
Nicolás Maná,68,81,64,61,71,29,66,80,82,63,64,68,62,55,60,52,66,62,68,53,46,70,83,81,57,71,69,25,56,27,22,33,77,70,72,45,RM,3,4,Right,"LW, ST, RW",30,Argentina,Sudamericana,Sportivo Luqueño,Rapid,178.0,77.0
Cyril Mandouki,68,48,54,63,65,65,78,46,50,61,52,60,54,45,45,66,59,38,67,64,56,64,71,70,66,64,68,68,67,62,65,64,70,90,76,68,CDM,4,2,Right,CM,33,France,Trendyol Süper Lig,Gaziantep,None,179.0,76.0
Massimiliano Mangraviti,68,72,51,59,62,66,73,69,75,47,42,64,62,47,47,55,57,47,64,61,55,60,70,63,65,64,54,65,69,63,69,67,78,70,76,70,CB,3,2,Left,LB,26,Italy,Serie BKT,Cesena,None,188.0,79.0
Martin Männel,68,71,67,58,70,49,66,52,44,9,12,44,15,20,36,45,14,12,34,36,13,18,44,38,62,31,47,17,19,15,12,12,66,34,61,21,GK,3,1,Right,None,36,Germany,3. Liga,FC Erzgebirge Aue,"1v1 Close Down, Far Throw",183.0,80.0
Sivert Heggheim Mannsverk,68,62,58,65,68,63,74,68,57,62,55,64,57,50,64,63,59,54,71,66,64,67,70,74,65,68,69,64,58,64,65,61,71,84,72,69,CDM,3,2,Right,CM,22,Norway,Eredivisie,Ajax,None,185.0,77.0
Kevin Mantilla,68,55,35,50,49,68,71,57,54,30,32,36,34,55,52,40,44,42,62,50,40,35,48,53,72,65,55,68,65,70,68,63,74,60,78,67,CB,3,2,Right,None,21,Colombia,Libertadores,Talleres,None,185.0,82.0
Riccardo Marchizza,68,55,37,60,64,69,66,51,59,56,27,55,40,26,34,51,70,22,67,60,53,64,58,63,69,66,66,70,66,69,70,68,66,61,69,64,LB,3,2,Left,LM,26,Italy,Serie BKT,Frosinone,None,186.0,80.0
Iván Márquez,68,49,43,50,50,68,76,47,50,43,45,53,35,25,41,47,37,29,61,54,37,39,56,57,64,59,65,68,68,69,68,64,73,66,81,76,CB,2,2,Right,None,30,Spain,Eredivisie,N.E.C. Nijmegen,"Block, Slide Tackle",191.0,80.0
Manuel Marras,68,79,62,63,69,31,48,83,76,60,64,63,60,58,58,65,62,52,65,58,66,68,86,92,61,66,55,37,47,29,28,22,51,85,31,45,RM,4,3,Left,"RB, RW",31,Italy,Serie BKT,Reggiana,"Anticipate, Incisive Pass, Rapid",168.0,63.0
Dani Martín,68,67,66,68,69,47,67,48,46,9,13,51,11,14,20,49,15,13,34,36,16,12,55,43,66,19,48,20,13,12,14,12,64,30,66,23,GK,3,1,Right,None,26,Spain,LALIGA HYPERMOTION,CD Eldense,None,187.0,77.0
Nacho Martín,68,70,45,67,65,64,63,68,72,41,39,57,47,43,49,63,69,54,73,67,55,62,71,75,63,68,60,65,48,67,65,67,58,71,58,66,CDM,3,2,Right,CM,22,Spain,LALIGA HYPERMOTION,R. Sporting,None,175.0,69.0
Mario Martín,68,68,53,68,72,63,49,69,68,63,53,53,52,48,43,71,58,45,74,72,60,72,71,74,68,72,71,68,54,57,69,57,55,34,48,68,CM,3,3,Right,None,20,Spain,LALIGA EA SPORTS,R. Valladolid CF,None,177.0,75.0
Álex Martín,68,42,42,53,47,69,65,49,37,15,35,48,64,23,42,28,45,48,72,59,35,29,52,52,62,67,54,64,71,65,74,70,72,51,71,64,CB,3,2,Right,RB,26,Spain,LALIGA HYPERMOTION,Elche CF,None,182.0,78.0
Marc Martínez,68,70,68,65,71,49,66,46,53,13,19,49,15,17,38,45,13,11,32,36,15,20,58,52,58,27,17,14,12,27,20,17,52,25,45,15,GK,2,1,Right,None,34,Spain,LALIGA HYPERMOTION,Granada CF,Footwork,186.0,72.0
Martínez,68,42,37,51,52,68,73,44,40,32,36,47,27,32,47,40,33,32,69,63,33,46,43,47,64,63,59,69,72,66,68,68,74,67,78,67,CB,3,2,Left,None,31,Spain,LALIGA HYPERMOTION,Córdoba CF,None,191.0,84.0
Marvin Martins,68,75,50,59,58,68,75,71,79,58,47,58,48,38,53,54,55,51,67,61,50,58,64,58,65,56,57,65,66,67,70,70,79,82,76,65,CB,2,2,Right,RB,29,Luxembourg,Ö. Bundesliga,FK Austria Wien,"Aerial, Anticipate",185.0,81.0
Alexandru Mățan,68,86,61,66,73,38,51,85,87,57,64,68,52,40,59,65,64,64,69,59,70,73,88,89,65,69,61,34,41,40,40,31,52,63,44,55,CAM,3,3,Right,LM,25,Romania,MLS,Columbus Crew,"Finesse Shot, Flair, Rapid",165.0,61.0
Christian Mathenia,68,69,68,52,70,45,67,46,44,15,12,39,15,16,23,37,15,15,31,25,15,15,35,39,66,23,54,19,14,17,12,12,64,42,69,31,GK,2,1,Right,None,32,Germany,Bundesliga 2,1. FC Nürnberg,Far Reach,190.0,89.0
Núrio Fortuna,68,74,63,64,69,67,67,71,77,62,58,73,66,68,52,62,63,53,68,66,61,70,71,70,62,69,67,67,68,67,68,65,74,62,66,72,CB,2,3,Left,LM,29,Angola,1A Pro League,KAA Gent,None,177.0,76.0
Henning Matriciani,68,77,35,51,54,63,72,74,80,39,32,38,34,33,47,44,56,40,58,47,40,50,54,61,65,57,55,66,61,58,65,71,76,76,72,68,RB,3,2,Right,"CB, LB",24,Germany,3. Liga,SV Waldhof,Intercept,187.0,80.0
Jannik Mause,68,81,68,52,61,46,72,81,81,70,73,65,62,49,69,55,44,39,58,55,42,59,61,51,64,65,66,40,69,45,44,39,83,72,74,66,ST,3,2,Right,None,26,Germany,Bundesliga 2,Kaiserslautern,None,188.0,82.0
Camilo Mayada,68,74,64,69,70,62,70,69,78,65,59,70,68,64,65,71,73,66,67,64,70,71,71,76,70,65,74,58,58,65,63,62,69,73,68,69,RB,3,3,Right,"CM, RM",33,Uruguay,Libertadores,Peñarol,Rapid,175.0,72.0
Fally Mayulu,68,76,69,51,67,24,71,75,77,63,71,72,66,62,55,64,47,48,52,36,62,67,75,45,61,70,60,23,66,16,18,24,79,69,74,62,ST,3,2,Right,None,22,France,EFL Championship,Bristol City,None,193.0,78.0
Bradley Mazikou,68,76,32,60,62,63,58,77,76,59,29,34,27,33,40,53,69,37,64,60,52,57,70,72,63,65,56,63,48,64,67,64,60,67,54,58,LB,3,2,Right,None,28,France,CSSL,Servette FC,None,172.0,68.0
Olivier Mbaizo,68,80,36,58,69,63,65,82,79,49,31,39,37,41,44,39,67,38,67,59,51,72,77,70,59,68,50,61,58,60,67,64,74,73,61,65,RB,2,2,Right,RM,27,Cameroon,MLS,Philadelphia,None,178.0,70.0
Jean-Manuel Mbom,68,70,60,66,69,64,72,68,72,59,59,66,59,44,59,65,65,50,71,69,40,69,69,75,72,68,61,64,45,66,67,63,64,73,72,71,CM,3,3,Right,CDM,24,Germany,3F Superliga,Viborg FF,None,185.0,80.0
Dax McCarty,68,43,53,62,63,65,72,53,34,54,44,68,53,56,66,61,52,54,66,70,66,59,59,75,70,65,66,64,62,68,65,64,65,80,67,75,CDM,3,3,Right,CM,37,United States,MLS,Atlanta United,None,175.0,68.0
Jack McGlynn,68,70,53,71,68,56,60,71,69,61,48,65,61,41,31,72,61,72,75,74,75,67,69,72,65,70,67,55,48,52,63,58,60,68,57,55,CM,3,2,Left,None,21,United States,MLS,Philadelphia,None,180.0,73.0
Sean McLoughlin,68,54,31,53,57,68,73,53,54,44,29,41,21,26,41,45,50,32,61,64,37,55,51,52,63,59,65,65,68,69,70,67,73,69,77,70,CB,3,2,Left,None,27,Republic of Ireland,EFL Championship,Hull City,None,191.0,89.0
Medrano,68,82,46,58,66,63,56,81,83,60,42,59,49,27,32,54,65,34,61,54,66,62,72,84,60,67,63,58,59,62,67,64,64,77,45,53,LB,2,2,Left,None,24,Spain,LALIGA HYPERMOTION,CD Tenerife,None,172.0,63.0
Anis Mehmeti,68,74,62,61,73,54,65,75,73,64,66,61,61,36,59,68,56,50,63,60,51,75,78,78,58,71,65,56,52,52,56,51,67,70,63,63,LM,3,3,Right,LW,23,Albania,EFL Championship,Bristol City,"Flair, Technical",180.0,63.0
Danilo Veiga,68,69,57,59,64,68,70,68,70,52,56,63,54,49,57,59,58,48,63,58,54,67,64,58,62,60,63,66,65,65,72,69,74,66,72,67,RB,3,2,Right,CM,21,Portugal,Liga Portugal,Estrela Amadora,None,183.0,83.0
Emiliano Méndez,68,37,49,60,63,64,84,41,33,50,42,65,53,37,51,63,45,41,69,66,47,63,49,51,60,70,64,60,69,68,63,62,74,81,90,74,CDM,3,2,Right,CM,35,Argentina,Primera División,Sarmiento,"Bruiser, Power Header",186.0,80.0
William Mendieta,68,57,67,68,69,31,61,61,53,61,67,69,67,62,65,70,68,59,69,66,59,71,65,68,67,71,58,25,40,20,40,39,56,53,70,50,CAM,4,3,Right,RM,35,Paraguay,Libertadores,Libertad,None,179.0,77.0
Hamza Mendyl,68,87,58,57,69,61,68,85,89,64,63,53,58,33,48,55,56,38,63,51,57,70,74,69,70,67,66,64,57,59,61,63,74,71,61,80,LM,2,3,Left,"LB, LW",26,Morocco,1A Pro League,OH Leuven,None,179.0,73.0
Phillip Menzel,68,69,67,66,68,22,67,20,26,8,5,50,10,5,15,45,14,8,20,39,12,5,36,29,62,15,29,8,10,12,13,13,55,30,69,26,GK,3,1,Right,None,26,Germany,3. Liga,Saarbrücken,"Far Throw, Footwork, Long Ball Pass",192.0,84.0
Mehdi Merghem,68,75,65,65,70,50,69,76,74,60,65,68,66,62,65,61,68,68,68,58,65,71,80,73,55,69,64,54,49,47,53,47,68,74,70,59,RM,3,4,Left,RW,27,France,Liga Portugal,Farense,"Finesse Shot, Technical",178.0,72.0
Billal Messaoudi,68,80,68,58,72,28,61,84,76,68,68,74,65,68,65,64,56,70,61,38,72,73,74,67,68,73,66,27,42,21,34,21,67,63,69,37,ST,3,3,Right,RW,26,Algeria,1A Pro League,KV Kortrijk,Technical,184.0,76.0
Metinho,68,69,54,60,68,67,64,68,70,62,54,59,49,42,61,56,51,40,71,64,43,68,65,66,65,70,66,68,66,69,66,60,69,72,60,63,CDM,2,3,Right,CM,21,Brazil,Eredivisie,Sparta Rotterdam,None,178.0,69.0
Melle Meulensteen,68,68,56,63,65,66,72,68,68,59,50,67,57,50,56,62,57,62,66,67,64,61,68,72,68,68,69,67,65,65,68,66,75,78,73,63,CDM,3,3,Right,"CM, CB",25,Holland,Serie BKT,Sampdoria,None,185.0,77.0
August Mikkelsen,68,80,59,62,74,34,63,85,75,64,58,58,62,57,66,65,60,60,63,60,64,72,92,92,62,71,65,32,50,32,32,32,68,83,56,52,LW,4,4,Right,"ST, CAM, LM",23,Norway,Eliteserien,FK Bodø/Glimt,"Flair, Quick Step, Technical",167.0,62.0
Dardo Miloc,68,60,46,59,63,66,76,59,61,58,40,48,57,34,39,59,55,45,62,65,40,61,66,65,63,66,58,68,59,64,69,66,68,90,71,73,CDM,3,3,Right,CM,33,Argentina,Primera División,Barracas Central,None,177.0,74.0
Marko Milovanović,68,59,69,50,64,27,67,56,62,65,71,76,64,56,60,50,35,51,59,50,50,69,57,42,67,66,48,23,68,20,22,26,74,58,78,49,ST,3,3,Right,None,21,Serbia,LALIGA HYPERMOTION,UD Almería,Aerial,196.0,85.0
Kevin Minda,68,65,50,64,63,66,69,67,63,50,49,52,52,49,48,71,51,44,70,68,50,61,70,71,65,63,64,68,67,65,67,65,72,76,68,64,CDM,3,2,Right,"CB, CM",25,Ecuador,Sudamericana,U. Católica,Long Ball Pass,172.0,72.0
Luis Miranda,68,82,63,57,70,27,58,83,81,72,68,63,56,53,55,58,64,39,63,44,49,71,76,75,64,66,70,25,65,23,23,20,77,73,60,30,RM,3,3,Right,RW,27,Colombia,Sudamericana,Deportes Tolima,Rapid,175.0,70.0
Demetri Mitchell,68,90,62,63,67,59,67,89,91,61,62,64,62,57,55,61,65,62,63,60,65,66,77,72,62,65,62,57,54,59,61,57,74,74,64,62,LM,4,3,Left,"LB, RM, LW",27,England,EFL League One,Exeter City,"Quick Step, Technical",176.0,70.0
Billy Mitchell,68,66,54,64,68,65,72,66,66,62,53,64,47,48,44,64,53,42,72,68,52,66,71,70,72,68,69,66,49,68,68,64,63,82,70,68,CM,3,2,Right,CDM,23,England,EFL Championship,Millwall,None,178.0,75.0
Dimitar Mitov,68,68,65,58,71,61,69,61,60,20,14,44,18,12,33,44,14,19,33,44,22,15,55,55,60,23,42,23,17,16,13,16,66,35,58,27,GK,3,1,Right,None,27,Bulgaria,Scottish Prem,Aberdeen,"Cross Claimer, Far Reach, Long Ball Pass",188.0,76.0
Stefan Mitrović,68,77,69,61,71,35,63,74,79,63,72,66,67,63,65,54,66,63,65,54,61,75,65,72,53,72,58,23,53,43,29,34,69,64,69,45,LM,3,3,Right,"RM, LW",22,Serbia,Serie A Enilive,Hellas Verona,None,181.0,75.0
Jan Mlakar,68,79,66,60,68,35,67,80,78,70,67,70,60,60,62,61,55,51,65,56,61,68,70,69,65,68,60,30,69,29,33,33,81,71,71,47,LM,3,3,Right,"RM, ST, LW",25,Slovenia,Serie BKT,Pisa,First Touch,183.0,78.0
Vasile Mogoș,68,66,61,61,61,66,79,63,68,58,55,70,68,48,68,54,63,65,64,58,66,60,62,53,64,61,66,65,68,65,67,65,79,74,83,74,RB,3,3,Right,"CB, RM",31,Romania,SUPERLIGA,CFR 1907 Cluj,Long Throw,186.0,84.0
Tobias Mohr,68,79,64,66,67,56,68,77,81,62,59,73,67,62,57,62,70,70,64,69,76,69,73,73,59,66,52,58,53,51,59,57,71,76,68,58,LM,4,3,Left,"CM, LW",29,Germany,Bundesliga 2,FC Schalke 04,None,182.0,82.0
Adrien Monfray,68,64,51,59,61,67,82,59,68,34,44,69,61,32,37,59,56,43,63,62,41,60,63,64,64,61,62,65,65,67,68,65,77,88,84,70,CB,3,2,Right,None,33,France,Ligue 2 BKT,ESTAC Troyes,None,185.0,76.0
Gonzalo Morales,68,73,66,49,65,25,68,73,73,71,67,72,58,65,59,55,42,48,54,40,48,63,69,77,69,65,57,19,68,18,24,22,82,66,80,39,ST,3,3,Left,None,21,Argentina,Primera División,Unión,None,178.0,83.0
Alfredo Morales,68,54,58,65,66,62,77,62,48,60,53,67,63,49,45,67,61,53,67,66,63,63,68,71,64,68,67,65,55,63,61,61,71,78,76,81,CDM,3,3,Right,"CM, CB",34,United States,MLS,SJ Earthquakes,None,183.0,77.0
Jon Morcillo,68,79,68,66,67,48,63,82,76,66,64,73,72,62,75,65,68,73,66,61,70,65,78,70,61,65,69,42,63,45,48,51,78,71,65,43,LM,4,4,Left,LW,25,Spain,LALIGA HYPERMOTION,Albacete BP,Rapid,183.0,72.0
Berto,68,79,65,60,71,53,74,80,78,66,62,78,58,65,63,60,62,46,62,55,71,72,74,77,67,68,68,53,57,46,57,54,78,66,74,82,LM,4,3,Right,"ST, RW, LW",28,Cape Verde Islands,SUPERLIGA,FC Univ. Cluj,"Long Throw, Rapid",177.0,80.0
Ariel Mosór,68,66,33,45,48,68,75,66,66,37,28,49,26,31,37,33,28,32,62,51,30,36,58,64,62,57,55,69,68,67,70,67,78,75,78,68,CB,2,2,Right,None,21,Poland,PKO BP Ekstraklasa,Raków,Intercept,184.0,82.0
Aimen Moueffek,68,65,56,64,72,65,66,68,62,66,55,59,57,39,50,70,58,47,68,66,47,71,78,66,69,73,68,65,60,65,67,65,69,64,65,70,CM,3,3,Right,CDM,23,Morocco,Ligue 1 McDonald's,AS Saint-Étienne,None,179.0,71.0
Lionel Mpasi,68,69,67,67,67,45,66,45,46,19,19,50,18,12,32,35,17,21,39,37,25,26,35,58,66,29,40,18,21,15,12,12,66,21,68,21,GK,3,1,Right,None,30,Congo DR,Ligue 2 BKT,Rodez AF,"Deflector, Far Throw",182.0,78.0
Bartosz Mrozek,68,69,67,63,70,38,69,39,37,9,7,47,11,12,21,44,9,14,20,20,12,14,24,25,55,24,31,19,12,16,11,14,59,36,61,23,GK,3,1,Right,None,24,Poland,PKO BP Ekstraklasa,Lech Poznań,"Far Throw, Footwork",191.0,82.0
Filip Mrzljak,68,68,48,58,65,65,71,71,66,38,37,68,62,29,48,57,49,47,65,65,39,59,81,74,61,68,58,66,54,64,68,67,66,87,62,75,CDM,3,3,Right,"CM, CB",31,Croatia,ISL,Punjab FC,None,177.0,72.0
Rui Modesto,68,85,61,61,66,55,63,84,85,70,65,54,64,42,47,61,66,42,62,58,56,65,77,74,58,65,60,54,43,50,63,60,62,78,57,58,RM,4,3,Right,"RB, RW",24,Angola,Serie A Enilive,Udinese,None,180.0,72.0
Arbnor Mucolli,68,73,64,64,72,52,59,75,72,66,65,63,64,61,61,68,59,63,66,58,65,70,90,84,62,69,68,53,43,53,54,48,54,71,52,64,LW,4,4,Left,"CAM, LM",24,Albania,Allsvenskan,IFK Göteborg,"Flair, Technical",175.0,70.0
Ngal'ayel Mukau,68,64,40,57,65,68,65,65,64,42,32,58,42,32,40,52,39,38,72,62,39,64,62,73,62,68,58,69,66,69,69,66,68,64,60,79,CDM,2,2,Left,CM,19,Congo DR,Ligue 1 McDonald's,LOSC Lille,None,188.0,72.0
Beni,68,67,58,63,67,65,64,67,67,70,55,61,58,59,55,70,51,48,69,65,55,68,66,61,64,70,55,67,44,63,72,70,56,70,62,65,CM,3,2,Right,CDM,22,Angola,Liga Portugal,Casa Pia AC,None,180.0,78.0
Agustín Mulet,68,71,51,66,70,62,72,72,70,52,49,59,52,41,43,63,56,45,75,74,52,69,71,76,64,72,55,55,71,54,70,69,78,83,66,70,CM,4,3,Right,CDM,24,Argentina,Primera División,Ind. Rivadavia,None,183.0,74.0
Tobias Müller,68,63,31,49,56,68,73,64,62,26,28,44,30,22,30,40,42,24,60,60,30,52,61,58,66,57,64,66,68,66,70,67,76,71,76,67,CB,3,2,Right,None,30,Germany,Bundesliga 2,1. FC Magdeburg,Long Ball Pass,188.0,83.0
Paul Mullin,68,76,69,56,66,39,72,74,77,68,69,70,67,68,65,57,55,59,58,47,64,64,71,76,67,65,68,34,67,42,35,27,78,83,71,58,ST,3,3,Right,None,29,England,EFL League One,Wrexham,"Chip Shot, Finesse Shot, Power Header, Power Shot",178.0,71.0
Jorge Félix,68,66,65,65,69,29,53,66,66,70,66,65,61,58,64,68,67,45,68,63,59,67,80,83,66,67,68,20,57,34,22,22,62,62,56,30,LM,4,4,Right,"ST, CAM, LW",33,Spain,PKO BP Ekstraklasa,Piast Gliwice,"Chip Shot, Technical",175.0,76.0
Josh Murphy,68,87,64,63,70,29,53,86,87,64,64,65,63,60,58,65,64,58,63,61,60,69,83,81,62,68,66,27,38,30,27,27,61,56,55,41,LM,4,4,Right,"RM, LW",29,England,EFL Championship,Portsmouth,Technical,173.0,67.0
Visar Musliu,68,71,34,48,62,68,72,70,71,27,34,39,31,32,35,40,40,34,62,43,36,61,67,64,67,61,64,71,61,70,69,64,74,72,74,68,CB,4,2,Right,None,29,North Macedonia,Bundesliga 2,SC Paderborn 07,"Aerial, Jockey, Long Ball Pass",187.0,80.0
Alex Muyl,68,78,59,62,66,62,80,80,76,62,60,70,49,43,53,62,63,30,66,62,59,63,75,69,62,69,58,64,70,59,62,56,83,91,74,81,RM,2,3,Right,"RB, CM, RW",28,United States,MLS,Nashville SC,Slide Tackle,180.0,79.0
Joel Mvuka,68,91,57,59,72,41,46,92,90,63,59,59,51,48,49,62,62,42,59,55,56,71,91,88,58,68,64,42,47,43,38,38,55,71,33,44,RM,3,4,Right,RW,21,Norway,Ligue 2 BKT,FC Lorient,"Quick Step, Rapid",178.0,66.0
Moussa N'Diaye,68,76,27,59,71,65,63,73,78,38,26,32,24,21,32,51,61,29,67,63,37,72,79,71,62,70,60,63,68,60,69,67,71,65,57,71,LB,3,2,Left,LM,22,Senegal,1A Pro League,RSC Anderlecht,None,181.0,70.0
Nikolas Nartey,68,69,49,67,73,66,68,69,69,63,55,51,38,32,41,70,65,40,73,65,45,73,74,76,71,74,67,66,60,67,68,61,73,59,72,67,CM,3,3,Left,"CDM, LB",24,Denmark,Bundesliga,VfB Stuttgart,None,185.0,81.0
João Muniz,68,69,32,47,44,71,65,71,68,32,23,54,26,33,45,50,48,30,49,42,48,35,47,60,64,48,61,69,73,68,75,71,79,58,66,70,CB,2,2,Left,LB,19,Portugal,Liga Portugal,Sporting CP,None,187.0,73.0
Kyle Naughton,68,54,51,63,66,70,65,55,53,54,45,65,50,52,47,59,65,30,70,66,43,64,70,70,69,66,67,66,67,73,70,68,67,60,66,67,CB,3,2,Right,RB,35,England,EFL Championship,Swansea City,Long Throw,179.0,73.0
Federico Navarro,68,74,44,61,69,68,57,73,74,52,34,58,50,35,55,58,56,42,70,59,46,69,77,79,65,65,77,71,59,61,76,71,57,67,43,81,CDM,3,2,Right,CM,24,Argentina,MLS,Chicago Fire FC,"Rapid, Slide Tackle",170.0,69.0
Raúl Navarro,68,65,57,63,67,65,66,66,65,65,56,60,58,47,56,64,65,44,66,64,48,64,72,77,65,68,61,67,60,61,68,66,67,75,60,70,RB,3,3,Right,"CM, RM",30,Spain,LALIGA HYPERMOTION,Burgos CF,None,167.0,62.0
Duckens Nazon,68,76,68,51,67,24,63,74,78,62,71,73,62,62,62,45,38,43,63,48,59,68,69,71,63,68,56,20,63,21,20,16,80,46,79,40,ST,3,3,Right,None,30,Haiti,Trendyol Süper Lig,Kayserispor,Technical,181.0,79.0
Alassane Ndao,68,76,61,62,70,31,54,74,78,64,62,70,48,56,62,62,65,44,65,63,50,70,75,79,63,68,64,25,45,32,27,35,61,63,59,28,RM,2,3,Right,RW,27,Senegal,Trendyol Süper Lig,Konyaspor,Rapid,176.0,70.0
Dorgeles Nene,68,85,71,61,73,37,55,86,85,67,74,71,69,67,61,64,56,57,63,60,62,72,88,84,63,70,64,27,49,35,42,39,63,67,50,52,ST,4,3,Left,"LM, CAM",21,Mali,Ö. Bundesliga,RB Salzburg,None,174.0,65.0
Loïc Nestor,68,48,45,54,55,68,79,59,39,42,43,51,42,43,48,46,56,29,61,64,33,47,61,75,66,58,64,70,66,71,64,67,75,87,78,71,CB,3,2,Right,None,35,France,Ligue 2 BKT,Grenoble Foot 38,Long Ball Pass,179.0,70.0
Roman Neustädter,68,32,53,63,64,68,72,32,32,55,40,71,61,48,63,67,55,56,70,60,54,65,54,51,60,69,56,69,70,64,70,70,64,77,74,65,CB,4,2,Right,CDM,36,Russia,1A Pro League,KVC Westerlo,Long Ball Pass,190.0,81.0
Serge-Junior M. Ngouali,68,60,58,64,67,65,73,61,60,64,57,63,59,54,46,67,54,50,68,66,62,63,76,90,70,66,70,67,58,67,64,61,69,75,73,72,CDM,3,3,Right,CM,32,Gabon,Allsvenskan,Brommapojkarna,None,175.0,75.0
Ibrahima Niane,68,78,66,55,67,19,61,81,76,69,65,72,65,55,68,54,55,58,58,44,58,67,78,56,65,65,64,13,69,13,14,16,80,65,67,36,ST,3,3,Right,None,25,Senegal,Ligue 1 McDonald's,Angers SCO,"Flair, Rapid",187.0,73.0
Lee Nicholls,68,67,68,61,68,41,66,40,42,5,11,46,14,10,23,50,18,15,39,27,11,12,42,40,72,29,44,9,15,12,11,13,57,29,55,26,GK,3,1,Right,None,31,England,EFL League One,Huddersfield,Far Throw,191.0,85.0
Roland Niczuly,68,67,65,70,70,32,68,32,31,12,15,53,17,18,22,62,23,11,25,14,14,16,38,45,59,17,34,19,13,15,13,14,52,25,52,29,GK,2,1,Right,None,28,Romania,SUPERLIGA,Sepsi OSK,1v1 Close Down,181.0,76.0
Julian Niehues,68,59,54,59,64,67,77,57,61,41,54,60,55,51,40,65,46,33,65,65,50,67,53,42,68,67,51,66,68,65,68,68,77,72,84,68,CDM,3,2,Right,CM,23,Germany,Bundesliga,Heidenheim,Power Header,195.0,88.0
Lasse Nielsen,68,65,33,53,53,66,79,61,69,38,25,48,31,41,38,51,44,41,59,59,49,50,57,56,63,54,61,70,57,66,67,66,74,69,82,85,CB,3,2,Right,None,36,Denmark,Trendyol Süper Lig,Göztepe,"Aerial, Slide Tackle",185.0,82.0
Luciano Nieto,68,72,65,71,72,39,66,73,71,69,65,70,61,61,70,74,68,70,72,71,67,72,75,67,70,73,70,33,46,33,44,49,64,68,65,65,CM,3,3,Left,CAM,33,Argentina,Sudamericana,U. Católica,None,175.0,80.0
Carlos Nieto,68,69,56,61,61,65,74,67,71,61,50,71,58,50,45,59,60,41,65,64,64,60,62,69,65,61,56,73,62,60,65,63,75,76,76,66,LB,2,2,Left,None,28,Spain,LALIGA HYPERMOTION,Real Zaragoza,"Bruiser, Intercept, Jockey",179.0,74.0
Calem Nieuwenhof,68,76,61,63,69,65,68,76,76,64,59,67,66,50,51,67,49,50,69,67,55,67,78,80,67,66,68,66,47,66,69,69,63,88,58,69,CM,3,2,Right,CDM,23,Australia,Scottish Prem,Hearts,Relentless,181.0,73.0
Kristoffer Nordfeldt,68,66,65,66,66,50,67,51,48,15,13,50,12,11,13,34,11,11,41,26,20,14,57,45,74,24,50,23,13,17,13,15,69,32,73,24,GK,3,1,Right,None,35,Sweden,Allsvenskan,AIK,"Far Throw, Long Ball Pass",188.0,87.0
Rhys Norrington-Davies,68,68,44,61,64,65,66,69,68,56,41,48,43,40,43,52,68,46,65,58,55,64,66,77,64,62,57,63,52,68,68,63,64,75,63,65,LB,2,2,Left,CB,25,Wales,EFL Championship,Sheffield Utd,None,181.0,70.0
Will Norris,68,69,67,69,69,44,65,40,49,13,10,52,10,12,16,57,11,18,50,55,17,12,35,51,63,30,49,21,11,9,16,17,59,36,60,20,GK,4,1,Left,None,31,England,EFL Championship,Portsmouth,"1v1 Close Down, Cross Claimer",195.0,81.0
Ryan Nyambe,68,78,35,56,65,64,73,78,78,51,32,34,38,30,36,48,62,38,61,58,47,65,73,70,63,63,57,63,62,64,65,63,81,73,76,61,RB,3,3,Right,CB,26,Namibia,EFL Championship,Derby County,None,178.0,70.0
Benjamin Nygren,68,69,67,65,69,22,63,71,68,70,68,69,64,58,64,66,64,60,68,63,61,70,63,59,67,70,68,21,61,18,16,18,72,64,66,52,ST,3,3,Left,"RW, LW",23,Sweden,3F Superliga,FC Nordsjælland,None,184.0,77.0
Mark O'Hara,68,71,66,64,68,64,74,69,72,68,67,70,66,32,70,65,57,58,68,67,65,69,66,67,68,68,68,66,62,64,66,60,74,86,74,58,CM,3,3,Right,CDM,28,Scotland,Scottish Prem,St. Mirren,None,188.0,80.0
Samuel Obeng,68,84,69,50,61,24,81,83,85,66,70,74,63,75,70,45,55,46,56,38,42,61,71,49,56,60,61,26,69,16,20,13,89,82,84,70,ST,2,3,Left,None,27,Ghana,Liga Portugal,Casa Pia AC,"Acrobatic, Quick Step, Rapid, Relentless",183.0,74.0
Jáder Obrian,68,87,64,59,69,36,63,88,86,70,66,68,61,43,61,61,56,60,61,53,61,68,86,82,65,64,62,24,55,38,40,24,77,74,67,37,RM,3,4,Right,"RW, LM",29,Colombia,MLS,Austin FC,Rapid,165.0,63.0
