Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,num_alt_pos_att,num_alt_pos_cen,num_alt_pos_dif,ps_scoring,ps_scoring_plus,ps_passing,ps_passing_plus,ps_control,ps_control_plus,ps_defend,ps_defend_plus,ps_physical,ps_physical_plus,Primary_Position,Assigned_Cluster
Nicolas Capraro,67,71,33,49,56,67,74,71,71,28,29,46,26,33,51,38,37,34,67,49,34,53,54,56,60,59,59,65,69,67,69,66,79,83,74,62,CB,2,2,Right,"184cm / 6'0""",78kg / 172lb,,26,Argentina,Primera División,Barracas Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,1
Wagner Pina,67,76,43,60,68,53,62,77,76,64,50,40,30,32,38,57,68,33,64,59,45,68,71,79,69,67,61,52,44,51,58,52,60,73,58,57,RM,2,3,Right,"170cm / 5'7""",58kg / 128lb,"RB, RW",21,Cape Verde Islands,Liga Portugal,Estoril Praia,,1,0,1,0,0,0,0,0,0,0,0,0,0,RM,8
André Sousa,67,60,67,67,68,59,73,67,55,66,60,80,71,67,59,68,64,71,68,66,74,68,67,67,67,70,65,65,52,57,60,55,68,72,74,75,CM,2,3,Left,"181cm / 5'11""",77kg / 170lb,,34,Portugal,Liga Portugal,Nacional,Long Ball Pass,0,0,0,0,0,1,0,0,0,0,0,0,0,CM,3
Julio Cascante,67,57,37,47,54,65,72,56,58,56,45,40,15,26,37,48,21,21,64,60,24,53,33,52,65,59,57,63,73,64,66,64,79,57,77,76,CB,3,2,Right,"188cm / 6'2""",77kg / 170lb,,30,Costa Rica,MLS,Austin FC,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,4
Dan Casey,67,52,37,45,51,67,76,51,52,28,33,51,32,35,43,32,32,35,60,55,33,50,53,39,64,51,59,64,70,66,68,65,73,70,79,75,CB,2,2,Right,"183cm / 6'0""",85kg / 187lb,,26,Republic of Ireland,Scottish Prem,Motherwell,"Aerial, Power Header",0,0,0,1,0,0,0,0,0,0,0,1,0,CB,4
Enzo Castillo,67,69,41,57,59,69,67,69,69,48,40,41,43,26,41,53,63,43,58,56,52,65,65,55,54,52,50,76,57,68,69,65,68,67,67,66,LB,4,2,Left,"171cm / 5'7""",68kg / 150lb,,23,Uruguay,Sudamericana,Cerro Largo,,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,1
Jesus Castillo,67,61,58,59,61,65,66,59,63,40,60,63,62,48,38,58,47,42,69,67,43,60,58,60,66,66,50,65,45,68,67,66,57,66,66,67,CDM,2,2,Right,"175cm / 5'9""",75kg / 165lb,CM,28,Peru,Libertadores,Alianza Lima,"Anticipate, Intercept",0,1,0,0,0,0,0,0,0,2,0,0,0,CDM,3
Jesús Castillo,67,56,57,64,63,61,69,61,52,50,55,67,58,36,55,64,45,58,75,71,40,62,60,62,60,65,65,62,43,61,66,62,59,66,73,67,CDM,3,3,Right,"184cm / 6'0""",80kg / 176lb,CM,23,Peru,Liga Portugal,Gil Vicente,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,3
David Castro,67,62,34,58,61,65,79,64,61,25,21,64,35,26,38,59,60,27,62,59,41,62,41,59,56,64,77,66,64,64,66,65,79,79,84,67,CB,3,2,Left,"192cm / 6'4""",86kg / 190lb,,28,Spain,LALIGA HYPERMOTION,Racing de Ferrol,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,1
Yoann Cathline,67,80,61,60,71,45,55,75,84,61,60,66,61,49,55,60,60,49,63,57,61,71,77,77,64,70,65,45,40,39,50,49,52,69,50,49,LM,3,3,Right,"176cm / 5'9""",68kg / 150lb,"ST, LW",22,France,Eredivisie,FC Utrecht,Whipped Pass,2,0,0,0,0,0,0,0,0,0,0,0,0,LM,5
Cristian Cauz,67,75,50,59,62,66,67,68,81,54,42,60,55,45,55,55,63,50,60,58,66,63,58,56,65,63,60,66,65,62,70,68,72,58,70,67,CB,3,2,Left,"188cm / 6'2""",78kg / 172lb,LB,28,Italy,Serie BKT,Modena,,0,0,1,0,0,0,0,0,0,0,0,0,0,CB,1
Tomás Cavanagh,67,82,36,56,66,61,64,77,86,56,31,43,35,33,39,52,59,33,61,58,42,67,73,67,59,64,52,64,49,54,68,64,62,80,55,67,LB,2,2,Left,"182cm / 6'0""",66kg / 146lb,,23,Argentina,Primera División,Vélez Sarsfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,1
Cayarga,67,78,66,63,69,25,60,80,76,65,65,68,64,71,64,68,60,73,62,57,75,68,82,75,64,67,70,34,31,22,20,24,60,64,65,42,LM,4,4,Right,"170cm / 5'7""",63kg / 139lb,"RM, CAM, LW",27,Spain,LALIGA HYPERMOTION,RC Deportivo,"Flair, Technical",1,2,0,0,0,0,0,2,0,0,0,0,0,LM,5
José Luis Cazares,67,69,50,61,63,64,70,71,67,63,42,60,54,50,62,65,51,46,65,63,59,59,62,74,64,65,75,66,52,67,67,58,68,71,70,70,CDM,2,2,Right,"172cm / 5'8""",73kg / 161lb,CM,33,Ecuador,Sudamericana,Técnico U.,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,1
Joseph Ceesay,67,92,54,58,66,58,71,91,93,60,55,53,54,36,51,59,64,38,58,58,55,64,78,71,62,65,57,53,47,56,65,59,78,76,77,49,RM,3,3,Right,"184cm / 6'0""",78kg / 172lb,"RB, RW",26,Sweden,Serie BKT,Cesena,Rapid,1,0,1,0,0,0,0,0,0,0,0,0,0,RM,8
Alberto Cerri,67,40,71,51,61,37,73,34,44,67,73,75,66,68,64,57,40,44,55,45,64,64,35,32,60,68,68,13,75,44,34,30,77,59,91,42,ST,3,3,Right,"194cm / 6'4""",91kg / 201lb,,28,Italy,Serie A Enilive,Como,"Aerial, Power Header",0,0,0,1,0,0,0,0,0,0,0,1,0,ST,3
Edwin Cerrillo,67,63,46,60,63,63,71,67,59,55,36,60,58,40,36,57,44,38,73,66,50,62,62,71,64,62,62,64,52,66,64,59,65,74,70,72,CDM,2,2,Right,"175cm / 5'9""",78kg / 172lb,CM,23,United States,MLS,LA Galaxy,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,1
Boris Cespedes,67,66,53,59,65,63,69,67,66,61,58,46,50,33,54,58,49,36,68,63,43,63,68,66,66,67,58,68,46,65,63,62,62,73,70,64,CDM,3,2,Right,"181cm / 5'11""",72kg / 159lb,CM,29,Bolivia,CSSL,Yverdon Sport FC,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,8
Daniel Chacón,67,62,22,43,46,68,63,60,64,29,16,34,18,22,38,29,29,25,65,41,25,31,45,58,64,65,48,68,68,69,66,71,68,62,62,65,CB,3,2,Right,"183cm / 6'0""",79kg / 174lb,CDM,23,Costa Rica,MLS,Colorado Rapids,,0,1,0,0,0,0,0,0,0,0,0,0,0,CB,4
Moutir Chajia,67,75,64,67,73,34,34,72,77,58,58,69,71,72,67,69,61,63,70,66,72,74,76,80,67,70,73,31,49,35,33,29,48,31,34,35,LM,3,3,Right,"181cm / 5'11""",72kg / 159lb,"CAM, LW",26,Belgium,Serie A Enilive,Como,,1,1,0,0,0,0,0,0,0,0,0,0,0,LM,5
Shea Charles,67,59,47,65,61,65,69,56,62,44,42,60,44,41,51,64,60,53,70,65,65,59,56,50,64,66,65,63,56,66,67,65,67,66,73,65,CDM,3,3,Right,"189cm / 6'2""",77kg / 170lb,"CM, CB",20,Northern Ireland,EFL Championship,Sheffield Wed,Jockey,0,1,1,0,0,0,0,0,0,1,0,0,0,CDM,3
Yevgen Cheberko,67,68,31,59,64,66,69,67,69,38,26,43,32,22,33,50,62,37,67,62,45,60,74,72,65,65,64,67,63,66,67,66,71,70,68,68,CB,3,2,Left,"183cm / 6'0""",66kg / 146lb,,26,Ukraine,MLS,Columbus Crew,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,1
Samir Chergui,67,52,43,62,63,68,63,57,47,52,42,47,44,30,40,60,58,43,68,66,41,61,68,66,66,63,64,66,63,67,70,69,70,37,73,67,CB,2,2,Right,"185cm / 6'1""",78kg / 172lb,CDM,25,France,Ligue 2 BKT,Paris FC,,0,1,0,0,0,0,0,0,0,0,0,0,0,CB,3
Lallianzuala Chhangte,67,87,62,61,66,37,65,90,84,62,67,60,58,53,52,60,62,50,64,58,55,66,82,79,58,62,55,38,44,39,32,38,72,85,57,56,RW,3,3,Left,"167cm / 5'6""",61kg / 134lb,"LM, LW, RM",27,India,ISL,Mumbai City FC,"Quick Step, Rapid",1,2,0,0,0,0,0,0,0,0,0,1,0,RW,5
Riccardo Chiarello,67,68,61,63,69,46,62,67,68,64,58,64,66,51,56,65,48,54,72,68,48,69,68,67,65,71,65,46,52,39,49,47,57,76,54,68,CAM,3,3,Right,"176cm / 5'9""",73kg / 161lb,RW,30,Italy,Serie BKT,Cesena,,1,0,0,0,0,0,0,0,0,0,0,0,0,CAM,8
Daniel Chima Chukwu,67,61,69,51,61,30,82,54,67,69,74,68,64,57,62,48,43,64,58,46,53,62,54,60,58,63,62,31,70,26,25,19,86,77,87,77,ST,3,2,Right,"180cm / 5'11""",74kg / 163lb,"LW, RW",33,Nigeria,ISL,Chennaiyin FC,"Power Header, Press Proven",2,0,0,1,0,0,0,1,0,0,0,0,0,ST,7
Alexandru Chipciu,67,68,64,64,66,56,69,69,68,64,62,67,65,64,62,60,63,66,67,61,66,65,69,71,65,65,68,56,58,50,61,58,67,82,64,68,LM,4,3,Right,"176cm / 5'9""",73kg / 161lb,"LB, RB, LW",35,Romania,SUPERLIGA,FC Univ. Cluj,"Flair, Technical",1,0,2,0,0,0,0,2,0,0,0,0,0,LM,8
Jeyson Chura,67,88,58,58,69,23,55,84,92,61,60,58,55,37,61,62,65,44,60,44,47,72,79,81,60,65,48,17,58,22,19,15,68,66,51,46,RM,3,3,Right,"166cm / 5'5""",66kg / 146lb,"LM, RW",22,Bolivia,Libertadores,The Strongest,Quick Step,1,1,0,0,0,0,0,0,0,0,0,1,0,RM,5
Jonathan Cissé,67,65,35,42,53,65,80,64,65,25,32,48,29,40,35,30,29,32,53,53,38,53,56,34,61,54,55,60,72,63,67,64,86,66,90,72,CB,2,2,Right,"195cm / 6'5""",91kg / 201lb,,27,Côte d'Ivoire,SUPERLIGA,SC Oțelul Galați,"Aerial, Bruiser",0,0,0,0,0,0,0,0,0,1,0,1,0,CB,4
Clemente,67,68,32,52,54,67,70,68,68,29,29,43,23,35,49,33,44,28,68,61,37,44,55,68,68,65,52,66,67,65,69,64,73,72,70,65,CB,2,2,Left,"180cm / 5'11""",79kg / 174lb,LB,25,Spain,LALIGA HYPERMOTION,Real Zaragoza,,0,0,1,0,0,0,0,0,0,0,0,0,0,CB,1
Denilho Cleonise,67,88,60,61,69,34,57,86,90,62,57,72,52,57,62,61,62,44,63,60,58,68,82,81,57,67,60,19,52,36,37,30,69,61,56,51,RM,3,4,Right,"179cm / 5'10""",70kg / 154lb,"LM, RW",22,Holland,Eredivisie,RKC Waalwijk,Rapid,1,1,0,0,0,0,0,0,0,0,0,0,0,RM,5
Zach Clough,67,68,61,65,69,45,62,72,65,65,60,63,59,63,70,67,66,66,66,59,68,66,85,82,64,68,64,41,55,42,49,44,66,79,59,49,LM,3,3,Right,"170cm / 5'7""",64kg / 141lb,"RM, CAM, LW",29,England,A-League,Adelaide United,"Dead Ball, Finesse Shot, First Touch, Technical",1,2,0,2,0,0,0,2,0,0,0,0,0,LM,8
James Collins,67,53,66,55,64,41,78,51,54,70,69,68,58,63,71,60,43,44,63,50,61,63,65,52,67,65,68,36,70,40,37,32,75,74,82,73,ST,3,2,Right,"188cm / 6'2""",86kg / 190lb,,33,Republic of Ireland,EFL Championship,Derby County,Power Header,0,0,0,1,0,0,0,0,0,0,0,0,0,ST,7
Archie Collins,67,72,57,64,68,62,70,69,74,58,55,61,60,49,51,64,58,57,67,66,62,65,83,82,66,66,68,65,50,64,64,60,71,90,64,59,CDM,4,2,Right,"175cm / 5'9""",63kg / 139lb,CM,25,England,EFL League One,Peterborough,Long Ball Pass,0,1,0,0,0,1,0,0,0,0,0,0,0,CDM,8
Rubin Colwill,67,66,63,63,68,45,66,64,68,65,63,66,65,52,45,66,51,59,70,64,57,69,66,57,61,70,64,45,61,29,54,45,72,59,73,55,CAM,3,3,Right,"193cm / 6'4""",85kg / 187lb,"RM, LM",22,Wales,EFL Championship,Cardiff City,,0,2,0,0,0,0,0,0,0,0,0,0,0,CAM,8
Luca Connell,67,65,58,66,66,60,70,68,63,54,52,64,65,58,56,65,65,59,67,67,68,65,71,69,66,66,65,64,37,61,64,62,54,82,61,80,CDM,3,2,Left,"177cm / 5'10""",75kg / 165lb,CM,23,Republic of Ireland,EFL League One,Barnsley,"Jockey, Long Ball Pass",0,1,0,0,0,1,0,0,0,1,0,0,0,CDM,8
Jomaine Consbruch,67,73,57,62,70,55,49,76,70,64,58,56,61,49,43,65,55,39,69,64,53,70,83,84,64,68,55,58,40,52,58,59,44,72,33,63,CAM,3,3,Right,"174cm / 5'9""",66kg / 146lb,"CM, RM",22,Germany,Bundesliga 2,Fürth,,0,2,0,0,0,0,0,0,0,0,0,0,0,CAM,5
Christian Conteh,67,93,51,51,74,28,57,94,93,59,54,52,44,51,40,54,55,35,54,42,50,76,88,80,65,69,64,19,39,26,31,27,61,72,52,50,RW,3,3,Right,"182cm / 6'0""",73kg / 161lb,"ST, LW, RM",25,Germany,Bundesliga 2,Braunschweig,"Flair, Quick Step, Rapid",2,1,0,0,0,0,0,1,0,0,0,1,0,RW,5
Sirlord Conteh,67,93,63,54,70,37,63,94,92,69,66,63,61,53,52,52,57,37,62,40,53,70,88,77,68,66,55,33,58,33,37,37,76,72,59,58,ST,2,3,Right,"179cm / 5'10""",78kg / 172lb,RM,28,Germany,Bundesliga,Heidenheim,"Acrobatic, Quick Step, Rapid",0,1,0,0,0,0,0,0,0,0,0,2,0,ST,5
Nicolás Contin,67,71,63,52,63,33,71,64,77,71,67,63,56,54,51,52,43,50,57,51,56,59,65,55,62,71,64,32,66,40,20,18,79,59,84,51,ST,2,2,Right,"183cm / 6'0""",78kg / 172lb,,28,Argentina,Primera División,Tigre,,0,0,0,0,0,0,0,0,0,0,0,0,0,ST,7
Alberto Contrera,67,71,64,70,66,44,65,65,76,64,61,71,64,62,66,68,68,67,71,72,74,67,58,55,59,68,70,42,55,47,38,43,66,67,67,55,CAM,4,3,Left,"183cm / 6'0""",70kg / 154lb,"RM, ST",32,Paraguay,Sudamericana,S. Ameliano,Long Ball Pass,1,1,0,0,0,1,0,0,0,0,0,0,0,CAM,8
Mauro Coppolaro,67,68,42,53,57,67,73,67,69,39,38,57,41,37,34,51,56,31,60,52,32,55,59,60,63,58,64,65,65,66,70,71,77,72,78,62,CB,4,2,Right,"189cm / 6'2""",80kg / 176lb,RB,27,Italy,Serie BKT,Carrarese Calcio,,0,0,1,0,0,0,0,0,0,0,0,0,0,CB,1
Gabriele Corbo,67,56,40,49,57,66,68,52,59,18,33,58,39,40,58,34,36,28,64,63,42,49,61,60,66,64,60,65,64,66,68,68,69,61,73,66,CB,2,2,Right,"186cm / 6'1""",79kg / 174lb,,24,Italy,MLS,CF Montréal,Long Ball Pass,0,0,0,0,0,1,0,0,0,0,0,0,0,CB,4
Marius Corbu,67,68,59,64,69,52,62,70,67,66,60,65,56,42,45,68,51,47,69,71,52,70,68,71,67,69,68,47,50,51,58,53,61,67,58,67,CAM,4,3,Right,"176cm / 5'9""",69kg / 152lb,CDM,22,Romania,Liga Cyprus,APOEL FC,,0,1,0,0,0,0,0,0,0,0,0,0,0,CAM,8
Harry Cornick,67,80,65,59,68,37,60,79,80,67,66,68,64,58,58,63,62,48,64,45,42,68,70,68,68,68,61,40,64,35,31,24,76,70,65,33,ST,3,3,Right,"180cm / 5'11""",82kg / 181lb,"RM, RW",29,England,EFL Championship,Bristol City,"Long Throw, Rapid",1,1,0,0,0,0,0,0,0,0,0,0,0,ST,5
Niccolò Corrado,67,67,47,66,67,64,60,68,67,67,49,40,48,53,36,68,66,28,69,67,66,65,77,73,67,67,62,63,53,61,70,66,61,65,58,58,LM,3,3,Left,"179cm / 5'10""",65kg / 143lb,"LB, LW",24,Italy,Serie BKT,Brescia,,1,0,1,0,0,0,0,0,0,0,0,0,0,LM,8
Lincoln,67,72,66,58,70,22,63,73,72,65,66,68,64,67,67,58,58,51,63,48,53,72,68,63,63,70,70,18,64,16,18,13,78,57,75,38,ST,3,3,Right,"180cm / 5'11""",79kg / 174lb,"RW, LW",23,Brazil,Ö. Bundesliga,SCR Altach,"Flair, Technical",2,0,0,0,0,0,0,2,0,0,0,0,0,ST,7
Patrick Andrade,67,67,57,64,68,63,65,68,67,61,55,67,53,46,58,63,55,50,69,71,61,68,68,73,66,69,65,64,53,65,63,62,64,62,64,73,CDM,3,3,Left,"176cm / 5'9""",70kg / 154lb,CAM,31,Cape Verde Islands,Liga Azerbaijan,Qarabağ FK,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,8
Luciano Cosentino,67,79,55,61,68,25,46,73,84,67,63,49,43,48,49,67,61,37,64,59,43,70,73,83,65,65,48,24,30,21,26,30,41,77,37,33,RW,3,3,Right,"172cm / 5'8""",63kg / 139lb,RM,23,Uruguay,Sudamericana,Cerro Largo,,0,1,0,0,0,0,0,0,0,0,0,0,0,RW,5
Marcel Costly,67,88,52,56,67,56,71,84,92,52,51,62,52,38,38,56,62,30,61,48,56,67,76,73,57,67,59,59,48,53,59,58,71,90,69,52,RB,3,3,Right,"183cm / 6'0""",79kg / 174lb,RM,28,Germany,3. Liga,FC Ingolstadt 04,"Aerial, Long Throw, Quick Step, Rapid, Whipped Pass",0,1,0,0,0,0,0,0,0,0,0,2,0,RB,8
Guillermo Cotugno,67,52,26,41,40,68,70,52,52,40,20,37,21,20,40,22,26,20,60,55,20,33,50,67,55,40,48,65,72,70,68,66,77,60,76,68,CB,3,2,Right,"177cm / 5'10""",84kg / 185lb,RB,29,Uruguay,Sudamericana,Racing Club,,0,0,1,0,0,0,0,0,0,0,0,0,0,CB,4
Ismaila Coulibaly,67,77,63,62,70,62,68,72,81,67,61,70,63,57,58,66,51,48,68,63,59,71,80,68,66,68,67,68,44,59,65,63,60,80,63,68,CM,4,4,Right,"183cm / 6'0""",68kg / 150lb,CDM,23,Mali,EFL Championship,Sheffield Utd,,0,1,0,0,0,0,0,0,0,0,0,0,0,CM,8
Hayden Coulson,67,76,38,56,66,62,61,78,75,60,39,45,26,29,34,56,64,30,59,47,46,66,73,82,64,63,59,63,59,61,64,64,70,68,58,57,LB,3,3,Left,"172cm / 5'8""",70kg / 154lb,,26,England,EFL League One,Blackpool,Technical,0,0,0,0,0,0,0,1,0,0,0,0,0,LB,9
Benjamin Cremaschi,67,74,57,63,71,58,57,73,75,66,58,60,50,39,63,72,48,37,69,68,49,75,71,70,60,70,60,58,38,55,65,63,56,60,59,50,CM,3,3,Right,"180cm / 5'11""",75kg / 165lb,"CAM, RM",19,United States,MLS,Inter Miami CF,,0,2,0,0,0,0,0,0,0,0,0,0,0,CM,8
Alexandru Crețu,67,54,58,56,60,67,78,53,54,61,57,64,58,42,61,58,42,38,65,64,39,57,67,58,65,63,59,66,66,67,67,67,76,71,85,70,CDM,3,2,Right,"190cm / 6'3""",85kg / 187lb,CM,32,Romania,ROSHN Saudi League,Al Wehda,Slide Tackle,0,1,0,0,0,0,0,0,0,1,0,0,0,CDM,3
Iulian Cristea,67,72,38,48,57,66,75,70,74,35,36,47,34,33,34,46,31,31,60,58,30,52,70,65,64,56,65,66,65,66,68,65,77,75,76,73,CB,3,2,Right,"184cm / 6'0""",77kg / 170lb,,30,Romania,SUPERLIGA,FC Univ. Cluj,Power Header,0,0,0,1,0,0,0,0,0,0,0,0,0,CB,1
Domen Črnigoj,67,72,61,68,69,54,69,71,72,65,58,67,68,55,33,67,69,55,69,69,64,68,82,69,70,68,66,59,28,56,58,54,59,74,73,55,CM,3,3,Right,"188cm / 6'2""",84kg / 185lb,,28,Slovenia,Serie A Enilive,Venezia,,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,8
Daniel Crowley,67,77,64,67,69,47,52,78,76,63,64,64,65,61,61,67,66,65,68,66,66,66,89,89,65,65,71,48,60,32,54,51,58,83,34,58,CAM,3,3,Right,"170cm / 5'7""",71kg / 157lb,CM,27,England,EFL League Two,Notts County,"Flair, Incisive Pass, Technical",0,1,0,0,0,1,0,2,0,0,0,0,0,CAM,5
Christopher Cvetko,67,60,60,63,64,65,76,66,55,61,57,68,62,52,50,65,52,60,67,65,59,63,63,62,69,65,62,69,62,66,65,59,73,87,74,69,CM,3,2,Left,"182cm / 6'0""",74kg / 163lb,CDM,27,Austria,Ö. Bundesliga,Austria Klagenfurt,,0,1,0,0,0,0,0,0,0,0,0,0,0,CM,3
Luca D'Andrea,67,77,58,64,71,39,53,79,75,60,58,65,51,64,59,62,60,60,68,64,67,71,81,81,63,68,68,30,42,39,42,42,57,57,54,42,RM,2,3,Left,"172cm / 5'8""",69kg / 152lb,RW,20,Italy,Serie BKT,Sassuolo,"Flair, Technical",1,0,0,0,0,0,0,2,0,0,0,0,0,RM,5
João Gamboa,67,65,58,64,64,64,74,63,66,63,54,68,59,44,67,66,59,46,68,67,47,65,59,56,63,65,65,64,60,62,66,65,72,80,75,64,CDM,3,3,Right,"187cm / 6'2""",80kg / 176lb,CM,28,Portugal,PKO BP Ekstraklasa,Pogoń Szczecin,Long Ball Pass,0,1,0,0,0,1,0,0,0,0,0,0,0,CDM,3
Alessio Da Cruz,67,70,67,60,71,36,62,73,68,70,68,72,64,56,52,57,59,51,63,58,67,72,73,67,65,71,64,24,54,43,35,26,68,53,65,64,ST,4,3,Right,"186cm / 6'1""",74kg / 163lb,CAM,27,Cape Verde Islands,Eredivisie,Fortuna Sittard,"Chip Shot, Technical",0,1,0,1,0,0,0,1,0,0,0,0,0,ST,5
Felipe Augusto,67,71,66,47,63,27,67,69,72,68,69,69,60,56,57,52,35,36,57,35,43,62,57,60,70,66,52,24,68,18,27,18,77,61,75,54,ST,3,3,Left,"187cm / 6'2""",77kg / 170lb,"LM, CAM",20,Brazil,1A Pro League,Cercle Brugge,,0,2,0,0,0,0,0,0,0,0,0,0,0,ST,7
Show,67,63,47,62,66,64,67,65,61,52,44,52,46,39,53,65,53,47,68,63,56,65,66,67,66,68,65,67,49,62,68,64,61,66,66,74,CDM,3,3,Right,"180cm / 5'11""",75kg / 165lb,CM,25,Angola,MLS,FC Dallas,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,8
Cristian Dájome,67,81,61,60,67,55,71,82,80,63,62,67,52,42,76,61,61,33,63,59,56,66,77,76,62,66,59,35,59,61,65,40,77,82,69,60,LM,3,3,Right,"172cm / 5'8""",69kg / 152lb,"ST, LW",30,Colombia,MLS,D.C. United,Rapid,2,0,0,0,0,0,0,0,0,0,0,0,0,LM,8
Wessel Dammers,67,58,56,53,59,67,74,63,53,55,48,70,61,50,61,54,33,52,60,60,51,54,63,67,62,64,63,64,69,67,68,65,75,72,75,75,CB,4,2,Right,"185cm / 6'1""",79kg / 174lb,,29,Holland,3F Superliga,Randers FC,Long Ball Pass,0,0,0,0,0,1,0,0,0,0,0,0,0,CB,3
Fabio Daprelà,67,65,57,62,64,65,78,61,69,61,55,65,59,46,48,59,65,60,64,64,53,61,70,65,65,67,66,62,64,68,65,65,77,76,82,70,CB,3,3,Left,"183cm / 6'0""",79kg / 174lb,,33,Switzerland,CSSL,FC Zürich,"Power Header, Slide Tackle",0,0,0,1,0,0,0,0,0,1,0,0,0,CB,3
Tendayi Darikwa,67,84,50,61,63,62,76,82,86,60,48,57,48,39,51,62,62,43,62,60,57,63,73,61,60,61,62,63,59,63,62,60,80,76,74,80,RB,4,3,Right,"188cm / 6'2""",77kg / 170lb,LB,32,Zimbabwe,EFL League One,Lincoln City,"Rapid, Trivela",0,0,1,0,0,0,0,0,0,0,0,1,0,RB,1
Simone Davi,67,83,48,60,66,58,65,82,84,63,42,61,48,48,42,51,68,55,64,49,68,68,73,62,61,64,49,61,42,60,59,62,63,76,60,62,LB,3,2,Left,"178cm / 5'10""",73kg / 161lb,LM,24,Italy,Serie BKT,Südtirol,,0,1,0,0,0,0,0,0,0,0,0,0,0,LB,8
Isaak Davies,67,83,65,51,68,24,58,82,83,69,72,63,55,56,64,48,53,30,60,36,48,66,78,71,67,67,60,28,58,13,23,22,71,61,57,52,ST,4,3,Right,"175cm / 5'9""",65kg / 143lb,,22,Wales,EFL Championship,Cardiff City,"Flair, Rapid",0,0,0,0,0,0,0,1,0,0,0,0,0,ST,5
Brian De Keersmaecker,67,76,53,64,66,61,70,72,80,61,52,59,52,41,49,63,56,40,74,67,42,65,68,67,62,66,64,67,58,66,55,58,71,77,68,66,CDM,3,2,Right,"182cm / 6'0""",75kg / 165lb,CM,24,Belgium,Eredivisie,Heracles Almelo,,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,8
Luis de la Cruz,67,70,57,60,69,64,70,69,71,60,65,58,50,26,45,56,60,33,66,64,50,68,73,82,60,69,58,65,52,74,60,58,64,80,65,71,CDM,3,2,Right,"176cm / 5'9""",68kg / 150lb,"CM, RB",33,Paraguay,Sudamericana,S. Trinidense,,0,1,1,0,0,0,0,0,0,0,0,0,0,CDM,8
Erik De Los Santos,67,77,48,65,67,62,62,77,77,55,55,40,40,33,48,61,60,38,72,70,55,72,67,80,55,60,58,66,42,63,66,61,58,80,55,60,RM,3,3,Right,"170cm / 5'7""",66kg / 146lb,"RB, CM, RW",25,Uruguay,Sudamericana,Racing Club,,1,1,1,0,0,0,0,0,0,0,0,0,0,RM,8
Sebastian De Maio,67,40,42,43,58,66,70,39,41,19,40,61,37,20,46,34,20,39,62,50,23,52,70,56,61,60,72,67,70,66,66,61,70,45,80,74,CB,3,2,Right,"190cm / 6'3""",90kg / 198lb,,37,France,Serie BKT,Mantova,Power Header,0,0,0,1,0,0,0,0,0,0,0,0,0,CB,4
Dion De Neve,67,81,59,59,68,49,42,79,82,58,61,71,45,48,57,57,75,36,56,58,53,67,74,81,63,68,51,49,37,53,52,43,43,71,30,34,LM,3,3,Left,"182cm / 6'0""",68kg / 150lb,"LB, RM, LW",23,Belgium,1A Pro League,KV Kortrijk,Rapid,1,1,1,0,0,0,0,0,0,0,0,0,0,LM,5
Nicolas De Préville,67,72,68,66,67,39,64,69,75,66,65,72,68,70,72,66,64,69,67,65,71,65,68,73,65,68,67,48,65,36,28,37,70,66,64,58,ST,3,3,Right,"182cm / 6'0""",77kg / 170lb,,33,France,Ligue 2 BKT,ESTAC Troyes,,0,0,0,0,0,0,0,0,0,0,0,0,0,ST,5
Gabriel Debeljuh,67,60,63,48,63,25,77,59,60,70,65,69,53,56,57,49,35,51,60,35,40,60,55,58,66,69,65,20,72,21,20,18,82,72,83,68,ST,3,2,Right,"185cm / 6'1""",80kg / 176lb,,27,Croatia,SUPERLIGA,Sepsi OSK,Power Header,0,0,0,1,0,0,0,0,0,0,0,0,0,ST,7
Yusuf Demir,67,79,59,61,76,19,47,81,77,55,58,63,62,56,56,60,59,58,65,58,66,76,87,86,60,75,68,19,43,15,18,12,51,52,42,54,RM,3,4,Left,"171cm / 5'7""",65kg / 143lb,"CAM, RW",21,Austria,Trendyol Süper Lig,Galatasaray,Technical,1,1,0,0,0,0,0,1,0,0,0,0,0,RM,5
